,query,No,token,pos
329,전주여행,8,1,SN
330,전주여행,8,박,NNBC
331,전주여행,8,2,SN
332,전주여행,8,일,NNBC
333,전주여행,8,저녁,NNG
334,전주여행,8,엔,JKB+JX
335,전주여행,8,전,MM
336,전주여행,8,주천,NNG
337,전주여행,8,산책,NNG
338,전주여행,8,길,NNG
339,전주여행,8,따라,VV+EC
340,전주여행,8,걷,VV
341,전주여행,8,거나,EC
342,전주여행,8,한옥,NNG
343,전주여행,8,마을,NNG
344,전주여행,8,근처,NNG
345,전주여행,8,에서,JKB
346,전주여행,8,야경,NNG
347,전주여행,8,즐기,VV
348,전주여행,8,시,EP
349,전주여행,8,는,ETM
350,전주여행,8,것,NNB
351,전주여행,8,도,JX
352,전주여행,8,너무,MAG
353,전주여행,8,좋,VA
354,전주여행,8,답니다,EF
355,전주여행,8,혹시,MAG
356,전주여행,8,일정,NNG
357,전주여행,8,이나,JC
358,전주여행,8,관심,NNG
359,전주여행,8,있,VA
360,전주여행,8,는,ETM
361,전주여행,8,테마,NNG
362,전주여행,8,사진,NNG
363,전주여행,8,카페,NNG
364,전주여행,8,체험,NNG
365,전주여행,8,등,NNB
366,전주여행,8,더,MAG
367,전주여행,8,알려,VV+EC
368,전주여행,8,주,VX
369,전주여행,8,시,EP
370,전주여행,8,면,EC
371,전주여행,8,맞춤,VV+EC
372,전주여행,8,추천,NNG
373,전주여행,8,도,JX
374,전주여행,8,해,VV+EC
375,전주여행,8,드릴,VX+ETM
376,전주여행,8,수,NNB
377,전주여행,8,있,VV
378,전주여행,8,어요,EF
379,전주여행,8,즐거운,VA+ETM
380,전주여행,8,되,XSV
381,전주여행,8,시,EP
382,전주여행,8,길,ETN+JKO
383,전주여행,8,바랄,VV+ETM
384,전주여행,8,게요,NNB+VCP+EC
385,전주여행,9,코스,NNG
386,전주여행,9,추천,NNG
387,전주여행,9,이,VCP
388,전주여행,9,요,EC
389,전주여행,9,~!,SY
390,전주여행,9,영화제,NNG
391,전주여행,9,기간,NNG
392,전주여행,9,일정,NNG
393,전주여행,9,으로,JKB
394,전주여행,9,2,SN
395,전주여행,9,박,NNBC
396,전주여행,9,3,SN
397,전주여행,9,일,NNBC
398,전주여행,9,좀,MAG
399,전주여행,9,가,VV
400,전주여행,9,볼까,EC+VX+EC
401,전주여행,9,해서,VV+EC
402,전주여행,9,요,MM
403,전주여행,9,코스,NNG
404,전주여행,9,추천,NNG
405,전주여행,9,좀,MAG
406,전주여행,9,해,VV+EC
407,전주여행,9,주,VX
408,전주여행,9,세요,EP+EF
409,전주여행,9,어차피,MAG
410,전주여행,9,주목적,NNG
411,전주여행,9,은,JX
412,전주여행,9,전주국,NNG
413,전주여행,9,제,XSN
414,전주여행,9,영화제,NNG
415,전주여행,9,니까,VCP+EC
416,전주여행,9,많,VA
417,전주여행,9,은,ETM
418,전주여행,9,곳,NNG
419,전주여행,9,을,JKO
420,전주여행,9,둘러보,VV
421,전주여행,9,지,EC
422,전주여행,9,는,JX
423,전주여행,9,못,MAG
424,전주여행,9,할,VV+ETM
425,전주여행,9,거,NNB
426,전주여행,9,에요,VCP+EF
427,전주여행,9,그냥,MAG
428,전주여행,9,하,XSV
429,전주여행,9,면,EC
430,전주여행,9,꼭,MAG
431,전주여행,9,가,VV
432,전주여행,9,볼,EC+VX+ETM
433,전주여행,9,만,NNB
434,전주여행,9,한,XSA+ETM
435,전주여행,9,곳,NNG
436,전주여행,9,알짜배기,NNG
437,전주여행,9,만,JX
438,전주여행,9,추천,NNG
439,전주여행,9,해,XSV+EC
440,전주여행,9,주,VX
441,전주여행,9,세,VA
442,전주여행,9,욜,EC
443,전주여행,10,전,NNG
444,전주여행,10,주로,MAG
445,전주여행,10,커플,NNG
446,전주여행,10,가,VV
447,전주여행,10,려고,EC
448,전주여행,10,하,VV
449,전주여행,10,는데,EC
450,전주여행,10,추천,NNG
451,전주여행,10,좀,MAG
452,전주여행,10,해,VV+EC
453,전주여행,10,주,VX
454,전주여행,10,세요,EP+EF
455,전주여행,10,숙소,NNG
456,전주여행,10,는,JX
457,전주여행,10,잡,VV
458,전주여행,10,았,EP
459,전주여행,10,고,EC
460,전주여행,10,놀,VX+ETM
461,전주여행,10,거리,NNG
462,전주여행,10,랑,JKB
463,전주여행,10,맛집,NNG
464,전주여행,10,등등,NNB
465,전주여행,10,추천,NNG
466,전주여행,10,해,XSV+EC
467,전주여행,10,주,VX
468,전주여행,10,시,EP
469,전주여행,10,면,EC
470,전주여행,10,감사,NNG
471,전주여행,10,하,XSV
472,전주여행,10,겠,EP
473,전주여행,10,습니다,EF
474,전주여행,10,한옥마을,NNP
475,전주여행,10,은,JX
476,전주여행,10,갈,VV+ETM
477,전주여행,10,겁니다,NNB+VCP+EF
