,query,token,pos
1038,전주여행,주달,NNG
1039,전주여행,봉,NNG
1041,전주여행,달,NNG
1042,전주여행,봉,NNG
1043,전주여행,티비,NNG
1044,전주여행,코스,NNG
1049,전주여행,곳,NNG
1050,전주여행,여수,NNG
1051,전주여행,여수,NNG
1057,전주여행,제주,NNP
1059,전주여행,제주도,NNP
1064,전주여행,곳,NNG
1065,전주여행,전문,NNG
1067,전주여행,플,NNG
1069,전주여행,언서,NNG
1070,전주여행,전,NNG
1071,전주여행,주달,NNG
1072,전주여행,봉이,NNG
1074,전주여행,코스,NNG
1076,전주여행,한옥,NNG
1077,전주여행,마을,NNG
1083,전주여행,코스,NNG
1084,전주여행,질문,NNG
1087,전주여행,코스,NNG
1094,전주여행,전라도,NNP
1105,전주여행,맛집,NNG
1106,전주여행,국내,NNG
1107,전주여행,전,NNG
1108,전주여행,주달,NNG
1109,전주여행,봉,NNG
1111,전주여행,달,NNG
1112,전주여행,봉,NNG
1113,전주여행,티비,NNG
1114,전주여행,코스,NNG
1119,전주여행,곳,NNG
1120,전주여행,여수,NNG
1121,전주여행,여수,NNG
1127,전주여행,제주,NNP
1129,전주여행,제주도,NNP
1134,전주여행,곳,NNG
1135,전주여행,전문,NNG
1137,전주여행,플,NNG
1139,전주여행,언서,NNG
1146,전주여행,비용,NNG
1148,전주여행,얼마,NNG
1152,전주여행,비용,NNG
1155,전주여행,요소,NNG
1160,전주여행,일반,NNG
1163,전주여행,다음,NNG
1167,전주여행,항목,NNG
1170,전주여행,포함,NNG
1173,전주여행,교통비,NNG
1175,전주여행,이동,NNG
1179,전주여행,교통,NNG
1180,전주여행,비용,NNG
1190,전주여행,코스,NNG
1191,전주여행,맛집,NNG
1192,전주여행,국내,NNG
1193,전주여행,전,NNG
1194,전주여행,주달,NNG
1195,전주여행,봉,NNG
1197,전주여행,달,NNG
1198,전주여행,봉,NNG
1199,전주여행,티비,NNG
1200,전주여행,코스,NNG
1205,전주여행,곳,NNG
1206,전주여행,여수,NNG
1207,전주여행,여수,NNG
1213,전주여행,제주,NNP
1215,전주여행,제주도,NNP
1220,전주여행,곳,NNG
1221,전주여행,전문,NNG
1223,전주여행,플,NNG
1225,전주여행,언서,NNG
1226,전주여행,전,NNG
1227,전주여행,주달,NNG
1228,전주여행,봉이,NNG
1230,전주여행,코스,NNG
1232,전주여행,한옥,NNG
1233,전주여행,마을,NNG
1235,전주여행,시작,NNG
1237,전주여행,당일치기,NNG
1238,전주여행,혼자,NNG
1239,전주여행,코스,NNG
1240,전주여행,추천,NNG
1241,전주여행,박물관,NNG
1242,전주여행,미술관,NNG
1243,전주여행,지역,NNG
1244,전주여행,공간,NNG
1246,전주여행,스토리,NNG
1250,전주여행,안내,NNG
1253,전주여행,해설,NNG
1255,전주여행,문화,NNG
1256,전주여행,코스,NNG
1259,전주여행,방지,NNG
1265,전주여행,예약금,NNG
1267,전주여행,결제,NNG
1270,전주여행,현장,NNG
1276,전주여행,상당,NNG
1277,전주여행,음료,NNG
1278,전주여행,기프,NNP
1279,전주여행,티,NNG
1280,전주여행,콘,NNG
1282,전주여행,환급,NNG
1283,전주여행,선착순,NNG
1284,전주여행,마감,NNG
1287,전주여행,계획,NNG
1293,전주여행,차,NNG
1295,전주여행,필요,NNG
1297,전주여행,가요,NNG
1298,전주여행,안녕,NNG
1305,전주여행,계획,NNG
1308,전주여행,서울,NNP
1312,전주여행,기차,NNG
1320,전주여행,렌트,NNG
1326,전주여행,참고,NNG
1328,전주여행,한옥마을,NNP
1329,전주여행,포함,NNG
1331,전주여행,유명,NNG
1332,전주여행,관광지,NNG
1335,전주여행,계획,NNG
1337,전주여행,맛집,NNG
1338,전주여행,국내,NNG
1341,전주여행,맛집,NNG
1342,전주여행,국내,NNG
1343,전주여행,전,NNG
1344,전주여행,주달,NNG
1345,전주여행,봉,NNG
1347,전주여행,달,NNG
1348,전주여행,봉,NNG
1349,전주여행,티비,NNG
1350,전주여행,코스,NNG
1355,전주여행,곳,NNG
1356,전주여행,여수,NNG
1357,전주여행,여수,NNG
1363,전주여행,제주,NNP
1365,전주여행,제주도,NNP
1370,전주여행,곳,NNG
1371,전주여행,전문,NNG
1373,전주여행,플,NNG
1375,전주여행,언서,NNG
1376,전주여행,전,NNG
1377,전주여행,주달,NNG
1378,전주여행,봉이,NNG
1383,전주여행,대중교통,NNG
1385,전주여행,택시,NNG
1386,전주여행,이용,NNG
1391,전주여행,완주,NNG
1392,전주여행,맛집,NNG
1393,전주여행,국내,NNG
1394,전주여행,전,NNG
1395,전주여행,주달,NNG
1396,전주여행,봉,NNG
1398,전주여행,달,NNG
1399,전주여행,봉,NNG
1400,전주여행,티비,NNG
1401,전주여행,코스,NNG
1406,전주여행,곳,NNG
1407,전주여행,여수,NNG
1408,전주여행,여수,NNG
1414,전주여행,제주,NNP
1416,전주여행,제주도,NNP
1421,전주여행,곳,NNG
1422,전주여행,전문,NNG
1424,전주여행,플,NNG
1426,전주여행,언서,NNG
1427,전주여행,전,NNG
1428,전주여행,주달,NNG
1429,전주여행,봉이,NNG
1431,전주여행,완주,NNP
1443,전주여행,부탁,NNG
1445,전주여행,맛집,NNG
1446,전주여행,국내,NNG
1447,전주여행,전,NNG
1448,전주여행,주달,NNG
1449,전주여행,봉,NNG
1451,전주여행,달,NNG
1452,전주여행,봉,NNG
1453,전주여행,티비,NNG
1454,전주여행,코스,NNG
1459,전주여행,곳,NNG
1460,전주여행,여수,NNG
1461,전주여행,여수,NNG
1467,전주여행,제주,NNP
1469,전주여행,제주도,NNP
1474,전주여행,곳,NNG
1475,전주여행,전문,NNG
1477,전주여행,플,NNG
1479,전주여행,언서,NNG
1480,전주여행,전,NNG
1481,전주여행,주달,NNG
1482,전주여행,봉이,NNG
1484,전주여행,코스,NNG
1486,전주여행,코스,NNG
1492,전주여행,코스,NNG
1502,전주여행,역사,NNG
1505,전주여행,유적지,NNG
1507,전주여행,전통문화,NNG
1511,전주여행,곳,NNG
1516,전주여행,한옥마을,NNP
1518,전주여행,방문,NNG
1523,전주여행,옥,NNG
1532,전주여행,시작,NNG
1539,전주여행,한옥,NNG
1540,전주여행,마을,NNG
1542,전주여행,대중교통,NNG
1544,전주여행,렌트카,NNG
1551,전주여행,때,NNG
1554,전주여행,차,NNG
1557,전주여행,대중교통,NNG
1563,전주여행,교통,NNG
1564,전주여행,상황,NNG
1569,전주여행,맛집,NNG
1570,전주여행,국내,NNG
1571,전주여행,전,NNG
1572,전주여행,주달,NNG
1573,전주여행,봉,NNG
1575,전주여행,달,NNG
